"Ship_1A:defRanged","Ship_2A:atkRanged",fitness
3,3,1.0
3,7,1.0
3,6,1.0
5,5,1.0
1,1,1.0
5,6,1.0
8,4,1.0
8,1,1.0
2,8,1.0
1,4,1.0
3,0,1.0
3,9,1.0
5,6,1.0
8,5,1.0
8,1,1.0
3,8,1.0
2,7,1.0
8,6,1.0
3,0,1.0
3,7,1.0
9,1,1.0
0,8,1.0
3,9,1.0
8,8,1.0
2,10,1.0
3,0,1.0
3,7,1.0
3,9,1.0
8,8,1.0
2,5,1.0
3,7,1.0
9,4,1.0
6,2,1.0
3,7,1.0
3,7,1.0
3,2,1.0
2,5,1.0
8,6,1.0
5,9,1.0
3,0,1.0
7,0,1.0
3,3,1.0
2,9,1.0
8,6,1.0
3,0,1.0
3,7,1.0
0,1,1.0
3,7,1.0
2,10,1.0
3,10,1.0
8,8,1.0
5,7,1.0
3,1,1.0
3,7,1.0
3,0,1.0
1,0,1.0
8,8,1.0
3,0,1.0
3,9,1.0
5,3,1.0
8,0,1.0
8,6,1.0
3,7,1.0
3,9,1.0
1,9,1.0
8,1,1.0
5,6,1.0
1,6,1.0
3,7,1.0
6,1,1.0
3,3,1.0
8,6,1.0
